name,min_stock_amount,location_id,product_group_id,sub,Description
Poêlée (méditerranéenne),0,Congelateur,Plats préparés & produits surgelés,Poêlée de légumes,
Poêlée (forestière),0,Congelateur,Plats préparés & produits surgelés,Poêlée de légumes,
Poêlée (parisienne),0,Congelateur,Plats préparés & produits surgelés,Poêlée de légumes,
Mélange de légumes pour wok,1,Congelateur,Plats préparés & produits surgelés,,
Cordon bleu,4,Congelateur,Plats préparés & produits surgelés,,
Glaces,0,Congelateur,Plats préparés & produits surgelés,,
Poissons panés,0,Congelateur,Plats préparés & produits surgelés,,
Poulet panés,0,Congelateur,Plats préparés & produits surgelés,,
Frites,0,Congelateur,Plats préparés & produits surgelés,,
Béchamel,0,Frigo,Plats préparés & produits surgelés,,
Falafel,0,Frigo,Plats préparés & produits surgelés,,
Foie gras,0,Frigo,Plats préparés & produits surgelés,,
Gyoza,0,Frigo,Plats préparés & produits surgelés,,
Hachis parmentier,0,Frigo,Plats préparés & produits surgelés,,
Kit fajitas,0,Bibliotheque,Plats préparés & produits surgelés,,
Lasagnes,1,Congelateur,Plats préparés & produits surgelés,,
Paniers feuilletés,0,Congelateur,Plats préparés & produits surgelés,,
Nuggets,0,Frigo,Plats préparés & produits surgelés,,

Steak haché,10,Congelateur,Produits protéinés,,
Ribs,0,Frigo,Produits protéinés,,
Viande de boeuf,0,Frigo,Produits protéinés,,
Viande de porc,0,Frigo,Produits protéinés,,
Viande pour kebab,0,Congelateur,Produits protéinés,,
Pulled pork,0,Congelateur,Produits protéinés,,
Lardons & Allumettes,200,Frigo,Produits protéinés,,
Lard,0,Frigo,Produits protéinés,,
Bacon,10,Frigo,Produits protéinés,,
Dinde (escalope),4,Frigo,Produits protéinés,,
Poulet (entier),0,Frigo,Produits protéinés,,
Poulet (escalope),0,Frigo,Produits protéinés,,
Ailes de poulet,0,Frigo,Produits protéinés,,
Escalope milanaise,0,Frigo,Produits protéinés,,
Oeufs,10,Bibliotheque,Produits protéinés,,
Canard,0,Frigo,Produits protéinés,,
Cervelas,0,Frigo,Produits protéinés,,
Chorizo (entier),1,Frigo,Produits protéinés,,
Chorizo (tranches),0,Frigo,Produits protéinés,,
Pepperoni,0,Frigo,Produits protéinés,,
Jambon blanc,4,Frigo,Produits protéinés,,
Jambon sec cru,0,Frigo,Produits protéinés,,
Jambon de dinde,4,Frigo,Produits protéinés,,
Saucisse (chipolata),0,Frigo,Produits protéinés,,
Saucisse de Strasbourg,0,Frigo,Produits protéinés,,
Saucisse knacki,0,Frigo,Produits protéinés,,
Andouille,0,Frigo,Produits protéinés,,
Merguez,1,Congelateur,Produits protéinés,,
Mortadelle,0,Frigo,Produits protéinés,,
Proteine whey,1000,Placard,Produits protéinés,,
Proteine whey (nature),1000,Placard,Produits protéinés,Proteine whey,
Proteine whey (chocolat),1000,Placard,Produits protéinés,Proteine whey,
Proteine whey (vanille),0,Placard,Produits protéinés,Proteine whey,
Rillette (poulet),0,Frigo,Produits protéinés,,
Rillette (porc),0,Frigo,Produits protéinés,,
Tofu,0,Frigo,Produits protéinés,,

Saumon/Truite (fumé),0,Frigo,Poissons,,
Steack de saumon (fumé),0,Frigo,Poissons,,
Saumon (frais),4,Congelateur,Poissons,,
Truite (frais),0,Congelateur,Poissons,,
Thon (conserve),4,Placard,Poissons,,
Thon (steak),0,Placard,Poissons,,
Maquereau (conserve),1,Placard,Poissons,,
Sardine,0,Frigo,Poissons,,
Anchois,0,Frigo,Poissons,,
Merlan,0,Frigo,Poissons,,
Merlu,0,Frigo,Poissons,,
Rouget,0,Frigo,Poissons,,
Cabillaud,0,Frigo,Poissons,,
Dorade,0,Frigo,Poissons,,
Colin,0,Frigo,Poissons,,
Hareng,0,Frigo,Poissons,,
Lieu,0,Frigo,Poissons,,
Morue,0,Frigo,Poissons,,
Sole,0,Frigo,Poissons,,
Surimi,0,Frigo,Poissons,,

Crabe,0,Frigo,Fruits de mer,,
Crevette,0,Frigo,Fruits de mer,,
Gambas,0,Frigo,Fruits de mer,,
Huître,0,Frigo,Fruits de mer,,
Langoustines,0,Frigo,Fruits de mer,,
Moules,0,Frigo,Fruits de mer,,
Saint-Jacques,0,Frigo,Fruits de mer,,
Palourde,0,Frigo,Fruits de mer,,

Fromage à pâte dur,1,Frigo,Produits laitiers,,Je veux du fromage à pâte dur peu importe lequel
Comté,0,Frigo,Produits laitiers,Fromage à pâte dur,
Emmental,0,Frigo,Produits laitiers,Fromage à pâte dur,
Gouda,0,Frigo,Produits laitiers,Fromage à pâte dur,
Mimolette,0,Frigo,Produits laitiers,Fromage à pâte dur,
Morbier,0,Frigo,Produits laitiers,Fromage à pâte dur,
Saint-Nectaire,0,Frigo,Produits laitiers,Fromage à pâte dur,
Tomme,0,Frigo,Produits laitiers,Fromage à pâte dur,

Fromage blanc,0,Frigo,Produits laitiers,,
Fromage à tartiner,0,Frigo,Produits laitiers,,
Fromage ail & fines herbes,6,Frigo,Produits laitiers,Fromage à tartiner,
Kiri,0,Frigo,Produits laitiers,Fromage à tartiner,
Mascarpone,0,Frigo,Produits laitiers,,
Fromage à pâte molle,0,Frigo,Produits laitiers,,
Beaufort,0,Frigo,Produits laitiers,Fromage à pâte molle,
Brie,0,Frigo,Produits laitiers,Fromage à pâte molle,
Camembert,0,Frigo,Produits laitiers,Fromage à pâte molle,
Coulommiers,0,Frigo,Produits laitiers,Fromage à pâte molle,
Maroilles,0,Frigo,Produits laitiers,Fromage à pâte molle,
Saint-Félicien,0,Frigo,Produits laitiers,Fromage à pâte molle,
Saint-Marcellin,0,Frigo,Produits laitiers,Fromage à pâte molle,
Munster,0,Frigo,Produits laitiers,Fromage à pâte molle,
Reblochon,0,Frigo,Produits laitiers,Fromage à pâte molle,
Raclette,0,Frigo,Produits laitiers,,
Fromage caillé,0,Frigo,Produits laitiers,,
Feta,0,Frigo,Produits laitiers,Fromage caillé,
Ricotta,0,Frigo,Produits laitiers,Fromage caillé,
Fromage bleu,0,Frigo,Produits laitiers,,
Gorgonzola,0,Frigo,Produits laitiers,Fromage bleu,
Roquefort,0,Frigo,Produits laitiers,Fromage bleu,
Fromage frais,0,Frigo,Produits laitiers,,
Fromage rapé,1,Frigo,Produits laitiers,,
Emmental (râpé),1,Frigo,Produits laitiers,Fromage rapé,
Gruyère (râpé),0,Frigo,Produits laitiers,Fromage rapé,
Cheddar (râpé),0,Frigo,Produits laitiers,,
Parmesan,1,Frigo,Produits laitiers,,
Chèvre (frais),0,Frigo,Produits laitiers,,
Chèvre (buche),0,Frigo,Produits laitiers,,
Mozzarella,0,Frigo,Produits laitiers,,
Burrata,0,Frigo,Produits laitiers,,
Faisselle,0,Frigo,Produits laitiers,,
Margarine,0,Frigo,Produits laitiers,,
Beurre (demi-sel),1,Frigo,Produits laitiers,,
Beurre (doux),1,Frigo,Produits laitiers,,
Crème liquide,0,Frigo,Produits laitiers,,
Crème liquide 12%,0,Frigo,Produits laitiers,Crème liquide,
Crème liquide 15%,0,Frigo,Produits laitiers,Crème liquide,
Crème liquide 30%,0,Frigo,Produits laitiers,Crème liquide,
Crème liquide 4%,0,Frigo,Produits laitiers,Crème liquide,
Crème semi-épaisse,0,Frigo,Produits laitiers,,
Crème fraîche,0,Frigo,Produits laitiers,,
Crème fraîche 15%,0,Frigo,Produits laitiers,Crème fraîche,
Crème fraîche 4%,0,Frigo,Produits laitiers,Crème fraîche,
Crème fleurette,0,Frigo,Produits laitiers,,
Cheddar (tranches),15,Frigo,Produits laitiers,,
Emmental (tranches),0,Frigo,Produits laitiers,,
Lait,1500,Frigo,Produits laitiers,,
Lait (entier),0,Frigo,Produits laitiers,Lait,
Lait (demi-écrémé),1500,Frigo,Produits laitiers,Lait,
Lait (écrémé),0,Frigo,Produits laitiers,Lait,
Lait concentré,0,Frigo,Produits laitiers,,
Lait d'avoine,0,Frigo,Produits laitiers,,
Lait de brebis,0,Frigo,Produits laitiers,,
Lait de chèvre,0,Frigo,Produits laitiers,,
Lait de coco,0,Frigo,Produits laitiers,,
Lait en poudre,0,Frigo,Produits laitiers,,
Lait fermenté,0,Frigo,Produits laitiers,,
Yaourts,8,Frigo,Produits laitiers,,
Yaourt à boire,0,Frigo,Produits laitiers,,
Skyr,8,Frigo,Produits laitiers,,

Compotes,8,Frigo,Dessert,,
Compote de pomme,0,Frigo,Dessert,Compotes,
Compote de pomme & poire,0,Frigo,Dessert,Compotes,
Compote de poire,0,Frigo,Dessert,Compotes,
Compote de pêche,0,Frigo,Dessert,Compotes,
Compote de rhubarbe,0,Frigo,Dessert,Compotes,
Crème anglaise,0,Frigo,Dessert,,

Pain,40,Congelateur,Produits de boulangerie & pâtisserie,,
Pain à l'ail,0,Congelateur,Produits de boulangerie & pâtisserie,,
Pain burger,0,Congelateur,Produits de boulangerie & pâtisserie,,
Pain bagel,0,Congelateur,Produits de boulangerie & pâtisserie,,
Pain ciabatta,0,Congelateur,Produits de boulangerie & pâtisserie,,
Pain naan,0,Congelateur,Produits de boulangerie & pâtisserie,,
Pain panini,0,Congelateur,Produits de boulangerie & pâtisserie,,
Pain pita,0,Congelateur,Produits de boulangerie & pâtisserie,,
Pain de mie,0,Congelateur,Produits de boulangerie & pâtisserie,,
Pancakes,0,Congelateur,Produits de boulangerie & pâtisserie,,
Toast,0,Congelateur,Produits de boulangerie & pâtisserie,,
Baguette,0,Congelateur,Produits de boulangerie & pâtisserie,,
Viennoiseries,0,Congelateur,Produits de boulangerie & pâtisserie,,
Croissant,0,Congelateur,Produits de boulangerie & pâtisserie,Viennoiseries,
Pain au chocolat,0,Congelateur,Produits de boulangerie & pâtisserie,Viennoiseries,
Biscuits,0,Placard,Produits de boulangerie & pâtisserie,,
Speculoos,0,Placard,Produits de boulangerie & pâtisserie,Biscuits,
Gâteaux,1,Placard,Produits de boulangerie & pâtisserie,,
Biscotte,1,Placard,Produits de boulangerie & pâtisserie,,
Brioche,0,Placard,Produits de boulangerie & pâtisserie,,

Farine,1000,Placard,Pâtisserie & sucrerie de base,,
Farine T45,0,Placard,Pâtisserie & sucrerie de base,Farine,
Farine T55,0,Placard,Pâtisserie & sucrerie de base,Farine,
Farine T65,0,Placard,Pâtisserie & sucrerie de base,Farine,
Farine de Sarrasin,500,Placard,Pâtisserie & sucrerie de base,Farine,
Farine de seigle,0,Placard,Pâtisserie & sucrerie de base,Farine,
Farine semi-complète,0,Placard,Pâtisserie & sucrerie de base,Farine,
Fécule de pommes de terre,0,Placard,Pâtisserie & sucrerie de base,,
Sucre vanillé,10,Placard,Pâtisserie & sucrerie de base,,
Arome de vanille,1,Frigo,Pâtisserie & sucrerie de base,,
Sucre roux,1000,Placard,Pâtisserie & sucrerie de base,,
Sucre glace,0,Placard,Pâtisserie & sucrerie de base,,
Sucre (en poudre),1000,Placard,Pâtisserie & sucrerie de base,,
Sucre (en morceaux),1,Placard,Pâtisserie & sucrerie de base,,
Sucre de canne,0,Placard,Pâtisserie & sucrerie de base,,
Pâte brisée,0,Placard,Pâtisserie & sucrerie de base,,
Pâte feuilletée,0,Placard,Pâtisserie & sucrerie de base,,
Pâte sablée,0,Placard,Pâtisserie & sucrerie de base,,
Pâte à pizza,0,Placard,Pâtisserie & sucrerie de base,,
Levure chimique,10,Placard,Pâtisserie & sucrerie de base,,
Levure boulangère,5,Placard,Pâtisserie & sucrerie de base,,
Levure fraîche,0,Placard,Pâtisserie & sucrerie de base,,
Ferments lactiques,0,Placard,Pâtisserie & sucrerie de base,,
Vanille (extrait),0,Placard,Pâtisserie & sucrerie de base,,
Vanille (gousse),0,Placard,Pâtisserie & sucrerie de base,,

Graines de Chia,0,Bibliotheque,Graines & fruits secs & oléagineux,,
Graines de courge,0,Bibliotheque,Graines & fruits secs & oléagineux,,
Graines de grenade,0,Bibliotheque,Graines & fruits secs & oléagineux,,
Graines de lin,0,Bibliotheque,Graines & fruits secs & oléagineux,,
Graines de moutarde,0,Bibliotheque,Graines & fruits secs & oléagineux,,
Graines de pavot,0,Bibliotheque,Graines & fruits secs & oléagineux,,
Graines de soja,0,Bibliotheque,Graines & fruits secs & oléagineux,,
Graines de sésame,0,Bibliotheque,Graines & fruits secs & oléagineux,,
Graines de tournesol,0,Bibliotheque,Graines & fruits secs & oléagineux,,
Noix,1000,Placard salon,Snacks et apéritifs,,
Noix de Grenoble,0,Placard salon,Snacks et apéritifs,Noix,
Cerneaux de noix,500,Placard salon,Snacks et apéritifs,Noix,
Noix de macadamia,0,Placard salon,Snacks et apéritifs,Noix,
Noix de pécan,0,Placard salon,Snacks et apéritifs,Noix,
Noix du Brésil,0,Placard salon,Snacks et apéritifs,Noix,
Noix de cajou,0,Placard salon,Snacks et apéritifs,Noix,
Noix de coco,0,Placard salon,Snacks et apéritifs,,
Noisette,0,Placard salon,Snacks et apéritifs,,
Pistaches,0,Placard salon,Snacks et apéritifs,,
Amandes,0,Placard salon,Snacks et apéritifs,,

Maizena,400,Placard,Féculents & céréales & légumineuses,,
Maizena béchamel,250,Placard,Féculents & céréales & légumineuses,,
Riz,1000,Placard,Féculents & céréales & légumineuses,,
